,"alagr","asagr","afore","afish","amcoa","amnfm","amoth","afood","atobm","atext","aclth","aleat","awood","apapp","aprin","achem","arupl","aglas","anmmp","airon","ametp","amach","aequi","atreq","aothm","aelwa","acnst","afins","abuss","atrac","atrns","apuba","aeduc","aheal","adoms","aoths","ctoba","cmaiz","cothg","csuga","ccott","coicr","chort","ccttl","cpoul","coliv","cdair","cfore","cfish","cmcoa","cmdia","cmgol","cmpgm","cmoth","cfood","ctobm","ctext","cclth","cleat","cwood","cpapp","cprin","cchem","crupl","cglas","cnmmp","ciron","cmetp","cmach","cequi","ctreq","cothm","celec","cwate","ccnst","cfins","cbuss","ctrac","ctrns","cpuba","ceduc","cheal","cdoms","coths","trc","flabsk","flabus","fcap","fmix","ent","hhrur","hhurb","gov","atax","stax","mtax","dtax","s-i","dstk","row"
"cclth",,,,,0,0,,,,2,1,0,,,0,0,,,0,,0,,,,0,0,0,1,,,22,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,120,,,,,,,,6
"cleat",,,,,,,,0,,,,0,0,,,,,,,,,,,,1,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,44,,,,,,,,11
"cwood",,,,,,1,,0,0,0,0,,4,,,0,,0,,,0,,,,3,,4,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
"cpapp",,,,,,,,2,4,,0,1,1,54,9,2,,,0,,0,,0,0,5,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,18
"cprin",,,,,,,,0,0,,,,0,,1,0,0,,,,0,,,,0,,0,27,0,,21,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,53,,,,,,,,0
"cchem",357,66,,,96,27,10,1,1,0,0,2,3,1,1,25,3,,0,0,0,0,0,0,1,41,9,34,,,817,4,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,"1,174",,,,,,,,25
"crupl",,,,,1,,5,4,2,0,0,0,0,0,0,0,6,0,0,,0,0,1,0,0,0,1,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,22,,,,,,,,18
"cglas",,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,1
"cnmmp",58,9,,,0,1,5,,,,,,,,,0,,,6,,0,0,,0,0,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
"ciron",,,,,0,0,,,,,,0,0,,,,,0,0,5,1,2,0,0,0,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,334
"cmetp",,,,,4,9,,0,10,,0,0,,,0,0,,,3,1,15,28,1,0,0,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,57,,,,,,,,20
"cmach",,,,,,,,,,,,,,,,,,,,,5,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,124,,21
"cequi",,,,,6,,,0,,0,0,0,,,0,,,,0,,2,1,8,,0,,11,,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,483,,,,,,92,,10
"ctreq",,,,,2,17,,,,,,,,,,,,,3,,12,38,4,46,0,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,106,,,,,,"1,111",,32
"cothm",13,3,53,,,,,,0,,0,,0,0,,0,,,0,,0,,,,2,0,0,17,,,16,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,273,,,,,,,-266,39
